bank,hand_class,entry_mass,deals,average_deals_per_update,zero_sample_updates,modal_switches,final_current_vs_played_average_tv
first-new,30,0.009373671001366192,368,4.717948717948718,1,6,0.10875448333045264
first-new,31,0.00934035619391856,353,4.5256410256410255,0,4,0.049634353646289514
first-new,32,0.009306022095552742,369,4.730769230769231,1,5,0.1073514314009833
first-new,33,0.009240436053813146,402,5.153846153846154,1,2,0.001115776555865628
first-new,34,0.009199750725946912,344,4.410256410256411,1,1,0.11115909819925306
first-new,35,0.009180578149517064,366,4.6923076923076925,2,4,0.3149670436466
first-new,36,0.009089929136714596,346,4.435897435897436,1,1,0.04714235838241156
first-new,37,0.0089998534200563,356,4.564102564102564,1,1,0.20035115189996944
first-new,38,0.008706783739295723,356,4.564102564102564,0,4,0.181913950076184
first-new,39,0.0031430349955735267,112,1.435897435897436,21,1,0.10014348145215912
first-new,40,0.0031265820393601806,120,1.5384615384615385,18,8,0.0666614464921541
first-new,41,0.0031308951109540934,138,1.7692307692307692,19,4,0.3726191006221599
first-new,42,0.004657575877138198,193,2.4743589743589745,6,2,0.0008971205195753323
first-new,43,0.00929613453637491,353,4.5256410256410255,1,3,0.008774859538245883
first-new,44,0.009262819728927278,329,4.217948717948718,0,3,0.15148496084494414
first-new,45,0.00922848563056146,361,4.628205128205129,0,12,0.06922862587909152
first-new,46,0.009162899588821865,376,4.82051282051282,1,7,0.04466839714602118
first-new,47,0.00912221426095563,364,4.666666666666667,1,7,0.16521459871464783
first-new,48,0.009103041684525784,349,4.4743589743589745,1,3,0.0021807465923512313
first-new,49,0.009012392671723315,390,5.0,1,5,0.24815174229656553
first-new,50,0.008922321679882108,359,4.602564102564102,2,8,0.049447775267097364
first-new,51,0.008629658602692861,327,4.1923076923076925,0,1,0.0011894516039254008
first-new,52,0.003143117301803553,120,1.5384615384615385,16,2,0.0523095252119625
first-new,53,0.00312662544208757,116,1.4871794871794872,19,3,0.1597528066593627
first-new,54,0.003124612815858345,119,1.5256410256410255,17,4,0.03593857658039333
first-new,55,0.003105130327599686,133,1.705128205128205,15,1,0.012637833452938885
first-new,56,0.004657822776008899,174,2.230769230769231,12,4,0.2926922185512216
first-new,57,0.009263066647623712,378,4.846153846153846,0,0,0.12000990232183432
first-new,58,0.009228732549257894,372,4.769230769230769,0,2,0.03764937428061411
first-new,59,0.009163146507518297,403,5.166666666666667,0,0,0.0005421596200548591
first-new,60,0.009122461179652064,368,4.717948717948718,1,7,0.12375871869066266
first-new,61,0.009103288603222215,337,4.32051282051282,2,2,0.07775889182789165
first-new,62,0.009012639590419749,350,4.487179487179487,0,4,0.02495155217816701
first-new,63,0.008922569928609137,356,4.564102564102564,0,4,0.21972415463405048
first-new,64,0.008629688899514034,340,4.358974358974359,1,1,0.02599420926319932
first-new,65,0.0031320123662733814,116,1.4871794871794872,18,12,0.21923003055085957
first-new,66,0.003115520506557398,120,1.5384615384615385,15,1,0.005541599377830476
first-new,67,0.0031134519845372947,112,1.435897435897436,17,1,0.06648816054987539
first-new,68,0.0030925460922791082,117,1.5,19,4,0.309630731416657
first-new,69,0.003094107729029421,107,1.3717948717948718,22,3,0.02613894811812156
first-new,70,0.004624507869432617,171,2.1923076923076925,9,14,0.23151376390266631
first-new,71,0.009195417741810262,399,5.115384615384615,1,8,0.13473681716888358
first-new,72,0.009129831700070664,343,4.397435897435898,0,6,0.019845086658200728
first-new,73,0.009089146372204432,349,4.4743589743589745,1,1,0.008940651833566451
first-new,74,0.009069973795774582,388,4.9743589743589745,0,6,0.146303770475695
first-new,75,0.008979324782972116,353,4.5256410256410255,1,4,0.16970316222647439
first-new,76,0.008889249585588644,354,4.538461538461538,0,5,0.19047928062532532
first-new,77,0.008596451115028006,347,4.448717948717949,1,10,0.17551194586487198
first-new,78,0.003120567667112555,107,1.3717948717948718,12,3,0.12747791935438726
first-new,79,0.0031040758073965723,138,1.7692307692307692,12,0,0.001322659173130003
first-new,80,0.0031020072853764685,132,1.6923076923076923,7,4,0.23286057008463204
first-new,81,0.0030766711611621336,114,1.4615384615384615,17,7,0.017524150642557888
