bank_difference,native_class,hand,entry_mass,contrast,count,mean_bb,paired_descriptive_se_bb
repeat-new minus first-new,163,A9s,0.0028322345637362746,call_minus_fold,195,1.542594568441158,1.1471048506052453
repeat-new minus first-new,163,A9s,0.0028322345637362746,raise_minus_fold,195,-0.29887689387707356,1.9038324595245557
repeat-new minus first-new,163,A9s,0.0028322345637362746,raise_minus_call,195,-1.8414714623182316,1.8582867377254686
repeat-new minus first-new,164,ATs,0.0028186729016320797,call_minus_fold,170,0.1382077233399272,0.7586624164721418
repeat-new minus first-new,164,ATs,0.0028186729016320797,raise_minus_fold,170,5.222725873420498,2.1012635474488603
repeat-new minus first-new,164,ATs,0.0028186729016320797,raise_minus_call,170,5.084518150080571,2.1278480427991324
repeat-new minus first-new,165,AJs,0.0028122821203068987,call_minus_fold,177,3.0813546558311784,0.8288273507882457
repeat-new minus first-new,165,AJs,0.0028122821203068987,raise_minus_fold,177,-5.801867567761283,2.362402952509505
repeat-new minus first-new,165,AJs,0.0028122821203068987,raise_minus_call,177,-8.88322222359246,2.392740187926416
repeat-new minus first-new,166,AQs,0.002782065810743854,call_minus_fold,165,-1.526179790613209,1.1269304483330855
repeat-new minus first-new,166,AQs,0.002782065810743854,raise_minus_fold,165,6.656684196055312,2.3593323098901973
repeat-new minus first-new,166,AQs,0.002782065810743854,raise_minus_call,165,8.182863986668522,2.5314122293870582
repeat-new minus first-new,167,AKs,0.002752040727766573,call_minus_fold,166,-0.3670074194982762,0.36887762383817996
repeat-new minus first-new,167,AKs,0.002752040727766573,raise_minus_fold,166,2.199576641194131,2.777503494721992
repeat-new minus first-new,167,AKs,0.002752040727766573,raise_minus_call,166,2.5665840606924073,2.7604898023357207
repeat-new minus first-new,168,AA,0.003972108648688113,call_minus_fold,247,-0.0829263270817442,0.29029083571798914
repeat-new minus first-new,168,AA,0.003972108648688113,raise_minus_fold,247,2.4978496098877647,3.2461507917168273
repeat-new minus first-new,168,AA,0.003972108648688113,raise_minus_call,247,2.5807759369695087,3.156825811175877
repeat-new minus repeat-old,0,22,0.004790793724696479,call_minus_fold,311,-0.14759708001091573,0.5449596370315851
repeat-new minus repeat-old,0,22,0.004790793724696479,raise_minus_fold,311,-2.860931025544127,1.1810219709804537
repeat-new minus repeat-old,0,22,0.004790793724696479,raise_minus_call,311,-2.7133339455332113,1.318800690181584
repeat-new minus repeat-old,1,32o,0.009512847260521819,call_minus_fold,637,-0.7911447362941337,0.30990609369777367
repeat-new minus repeat-old,1,32o,0.009512847260521819,raise_minus_fold,637,-0.9275446528342701,0.6638604808587811
repeat-new minus repeat-old,1,32o,0.009512847260521819,raise_minus_call,637,-0.1363999165401363,0.7163835073659991
repeat-new minus repeat-old,2,42o,0.009506641694301852,call_minus_fold,612,4.811849218690916,0.8713334339881965
repeat-new minus repeat-old,2,42o,0.009506641694301852,raise_minus_fold,612,-8.947869572252007,0.7032077694651092
repeat-new minus repeat-old,2,42o,0.009506641694301852,raise_minus_call,612,-13.759718790942925,1.2781075033832612
repeat-new minus repeat-old,3,52o,0.009429105229310572,call_minus_fold,620,0.2635894940136416,0.256542096511208
repeat-new minus repeat-old,3,52o,0.009429105229310572,raise_minus_fold,620,6.951205282506284,0.7937294282619914
repeat-new minus repeat-old,3,52o,0.009429105229310572,raise_minus_call,620,6.687615788492642,0.7922682878986114
repeat-new minus repeat-old,4,62o,0.009429352148007004,call_minus_fold,605,-0.8405255706857293,0.2876800922491188
repeat-new minus repeat-old,4,62o,0.009429352148007004,raise_minus_fold,605,-6.608460375181214,0.5668501515900146
repeat-new minus repeat-old,4,62o,0.009429352148007004,raise_minus_call,605,-5.767934804495485,0.6071583212287699
repeat-new minus repeat-old,5,72o,0.009396037340559372,call_minus_fold,627,-0.43015594969790394,0.2680835819496523
repeat-new minus repeat-old,5,72o,0.009396037340559372,raise_minus_fold,627,5.75190043758869,0.8403443285261473
repeat-new minus repeat-old,5,72o,0.009396037340559372,raise_minus_call,627,6.182056387286594,0.8224212518742526
repeat-new minus repeat-old,6,82o,0.009361703242193552,call_minus_fold,627,0.049022709490661294,0.35355677870851915
repeat-new minus repeat-old,6,82o,0.009361703242193552,raise_minus_fold,627,2.3748916425491524,0.663857526261706
repeat-new minus repeat-old,6,82o,0.009361703242193552,raise_minus_call,627,2.325868933058491,0.6593926075945216
repeat-new minus repeat-old,7,92o,0.009296117200453959,call_minus_fold,643,3.4072776047058544,0.6284060380149592
repeat-new minus repeat-old,7,92o,0.009296117200453959,raise_minus_fold,643,6.631837316620594,0.6930216071724445
repeat-new minus repeat-old,7,92o,0.009296117200453959,raise_minus_call,643,3.22455971191474,0.595833268659126
repeat-new minus repeat-old,8,T2o,0.009255431872587724,call_minus_fold,612,4.420447285916132,0.7339063591883855
repeat-new minus repeat-old,8,T2o,0.009255431872587724,raise_minus_fold,612,3.041567728776359,0.5244819927706541
repeat-new minus repeat-old,8,T2o,0.009255431872587724,raise_minus_call,612,-1.3788795571397732,0.6828670592272434
repeat-new minus repeat-old,9,J2o,0.009236259296157876,call_minus_fold,592,-2.7419345566675593,0.5002268467500841
repeat-new minus repeat-old,9,J2o,0.009236259296157876,raise_minus_fold,592,-2.3556194931460275,0.5590052514254146
repeat-new minus repeat-old,9,J2o,0.009236259296157876,raise_minus_call,592,0.3863150635215318,0.7367475261394203
repeat-new minus repeat-old,10,Q2o,0.009145610283355409,call_minus_fold,580,-2.3818184904138784,0.48552888063838906
repeat-new minus repeat-old,10,Q2o,0.009145610283355409,raise_minus_fold,580,-3.7899695376021563,0.4440458289767554
repeat-new minus repeat-old,10,Q2o,0.009145610283355409,raise_minus_call,580,-1.4081510471882779,0.5571597708447711
repeat-new minus repeat-old,11,K2o,0.009055534566697113,call_minus_fold,619,0.21927538723334242,0.21704668171418945
repeat-new minus repeat-old,11,K2o,0.009055534566697113,raise_minus_fold,619,2.041196129306854,0.5847112688027053
repeat-new minus repeat-old,11,K2o,0.009055534566697113,raise_minus_call,619,1.8219207420735115,0.6029082628554555
repeat-new minus repeat-old,12,A2o,0.008750471453727546,call_minus_fold,581,-0.24272163095717525,0.28482688467826717
repeat-new minus repeat-old,12,A2o,0.008750471453727546,raise_minus_fold,581,-4.6104987320689235,1.2149466838218932
repeat-new minus repeat-old,12,A2o,0.008750471453727546,raise_minus_call,581,-4.3677771011117486,1.1863685927056666
repeat-new minus repeat-old,13,32s,0.00317094900525911,call_minus_fold,197,-0.6822887959139438,0.3791878461479619
repeat-new minus repeat-old,13,32s,0.00317094900525911,raise_minus_fold,197,0.6726104068121351,1.198521577119715
repeat-new minus repeat-old,13,32s,0.00317094900525911,raise_minus_call,197,1.3548992027260789,1.2257521984596254
repeat-new minus repeat-old,14,33,0.00474131789843658,call_minus_fold,334,0.4368373517000901,0.42888868924534473
